pi_co2, cp_s, h_hat, cr, T_design, CF,SHB_CF, CAPEX_total, Total_profit, Total_CO2
20.000000,3.000000,10.000000,1.000000,400.000000,0.016562,0.990811,15.237489,18229.439026,231.411201
20.000000,3.000000,15.000000,1.000000,400.000000,0.016562,0.989678,15.287489,19132.277973,231.411201
20.000000,3.000000,20.000000,1.000000,400.000000,0.016229,0.994235,15.337489,18602.604028,226.757487
20.000000,3.000000,25.000000,1.000000,400.000000,0.015658,0.994340,15.387489,19291.921047,218.779692
20.000000,3.000000,30.000000,1.000000,400.000000,0.015563,0.990211,15.437489,18937.348082,217.450060
20.000000,3.000000,35.000000,1.000000,400.000000,0.015468,0.990516,15.487489,18795.633059,216.120427
20.000000,3.000000,40.000000,1.000000,400.000000,0.015801,0.992627,15.537489,18482.730252,220.774141
20.000000,3.000000,45.000000,1.000000,400.000000,0.015088,0.994987,15.587489,18979.255713,210.801897
20.000000,3.000000,50.000000,1.000000,400.000000,0.016086,0.996823,15.637489,19126.057412,224.763038
20.000000,3.000000,55.000000,1.000000,400.000000,0.015611,0.996775,15.687489,18984.463290,218.114876
20.000000,3.000000,60.000000,1.000000,400.000000,0.015135,0.995310,15.737489,19041.467082,211.466714
20.000000,3.000000,65.000000,1.000000,400.000000,0.015183,0.996975,15.787489,19069.611701,212.131530
20.000000,3.000000,70.000000,1.000000,400.000000,0.015230,0.996975,15.837489,19076.426079,212.796346
20.000000,3.000000,75.000000,1.000000,400.000000,0.015135,0.997184,15.887489,19103.258332,211.466714
20.000000,3.000000,80.000000,1.000000,400.000000,0.015088,0.997175,15.937489,19106.392986,210.801897
20.000000,3.000000,85.000000,1.000000,400.000000,0.014945,0.997203,15.987489,19137.914224,208.807449
20.000000,3.000000,90.000000,1.000000,400.000000,0.015088,0.997203,16.037489,19157.637857,210.801897
20.000000,3.000000,95.000000,1.000000,400.000000,0.015088,0.997565,16.087489,19059.484349,210.801897
20.000000,3.000000,100.000000,1.000000,400.000000,0.014945,0.997365,16.137489,19169.258931,208.807449
40.000000,3.000000,10.000000,1.000000,400.000000,0.026360,0.985150,15.237489,23428.548799,368.363346
40.000000,3.000000,15.000000,1.000000,400.000000,0.025552,0.987728,15.287489,23305.555285,357.061470
40.000000,3.000000,20.000000,1.000000,400.000000,0.024648,0.988109,15.337489,23691.282245,344.429961
